ExperimentName,Subject,Session,Procedure[Block],Running[Block],Trial,Block1ITEMS,Block2ITEMS,cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,Rword2.RT,Group,Procedure[Trial]
D_JOL A 2,117,1,BlockProc1,Block1,1,,,Shrimp - Fish,,4,,,,,,,,,1,StudyProc1
D_JOL A 2,117,1,BlockProc1,Block1,2,,,Haircut-Scissors,,1,,,,,,,,,1,StudyProc1
D_JOL A 2,117,1,BlockProc1,Block1,3,,,Curtain - Drapes,,2,,,,,,,,,1,StudyProc1
D_JOL A 2,117,1,BlockProc1,Block1,4,,,Snow - Ice,,3,,,,,,,,,1,StudyProc1
D_JOL A 2,117,1,BlockProc1,Block1,5,,,Member - Group,,5,,,,,,,,,1,StudyProc1
D_JOL A 2,117,1,BlockProc1,Block1,6,36,,Sleep - Drowsy,B,36,100,4373,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,7,10,,Paw - Dog,F,10,60,12120,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,8,1,,Delinquent - Bad,F,1,100,2247,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,9,72,,Happy - Car,U,72,100,4229,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,10,39,,Plane - Pilot,B,39,100,2206,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,11,70,,Fix - Hand,U,70,75,3764,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,12,45,,Trial - Jury,S,45,100,1712,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,13,50,,Blow - Wind,S,50,100,1889,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,14,19,,Orchid - Flower,F,19,100,2170,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,15,28,,Math - Division,B,28,65,8647,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,16,63,,Park - Hungry,U,63,100,1741,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,17,59,,Baby - Child,S,59,90,6369,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,18,9,,Swan - Bird,F,9,100,3246,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,19,57,,Lettuce - Salad,S,56,100,1714,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,20,47,,Grill -Bar,S,47,100,2358,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,21,48,,Kidney - Liver,S,48,100,2098,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,22,35,,Hunger - Famine,B,35,70,7111,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,23,37,,Smell - Stench,B,37,100,2371,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,24,6,,Hornet - Sting,F,6,100,3414,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,25,71,,Machine - Position,U,71,100,9416,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,26,40,,Fire - Blaze,B,40,100,2124,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,27,69,,Artery - Bronze,U,69,100,3780,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,28,33,,Ball - Racket,B,33,57,6876,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,29,77,,Valley - Add,U,77,100,1696,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,30,73,,Allow - Tuck,U,73,70,7619,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,31,56,,Past - Future,S,57,100,2207,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,32,67,,Death - Business,U,67,60,7920,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,33,23,,Dark - Cave,B,23,100,2912,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,34,29,,Law - Attorney,B,29,100,1956,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,35,42,,Number - Amount,S,42,80,4667,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,36,31,,Key - Latch,B,31,100,1852,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,37,25,,Height - Growth,B,25,100,2093,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,38,21,,Full - Enough,B,21,100,2009,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,39,68,,Debate - Sight,U,68,55,5401,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,40,49,,Begin - End,S,49,100,2456,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,41,27,,Bug - Wasp,B,27,100,2366,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,42,64,,Lift - Woman,U,64,100,1969,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,43,30,,Great - Fantastic,B,30,100,2675,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,44,24,,Take - Seize,B,24,100,1872,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,45,61,,Pusher - Clutter,U,61,100,1908,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,46,62,,Dietary - Sacking,U,62,75,7787,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,47,38,,Clothes - Attire,B,38,100,1849,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,48,13,,Bridge - Water,F,13,100,2565,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,49,4,,Chisel - Hammer,F,4,100,4013,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,50,7,,Bitter - Cold,F,7,90,5163,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,51,44,,Dump - Waste,S,44,100,1834,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,52,80,,King - Vase,U,80,85,5025,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,53,43,,Location - Site,S,43,100,1924,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,54,26,,Sentence - Word,B,26,70,5404,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,55,78,,Cash - Would,U,78,100,1943,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,56,34,,Work - Chore,B,34,70,5825,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,57,12,,Hygiene - Clean,F,12,100,3112,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,58,5,,Editor - News,F,5,95,3441,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,59,75,,Strong - Accident,U,75,100,1663,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,60,60,,Circle - Round,S,60,95,4259,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,61,14,,Geology - Rock,F,14,100,1979,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,62,76,,Sugar - Riddle,U,76,100,1999,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,63,32,,Hot - Chili,B,32,100,2275,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,64,55,,Shoe - Foot,S,55,100,2806,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,65,46,,Architecture - Design,S,46,100,3168,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,66,8,,Root - Plant,F,8,100,1501,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,67,3,,Wage - Money,F,3,100,1932,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,68,74,,Art - Lion,U,74,90,2635,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,69,54,,Choice - Decision,S,54,100,1841,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,70,20,,Tuna -  Fish,F,20,100,1629,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,71,22,,Drink - Sip,B,22,95,2824,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,72,41,,Due - Assignment,S,41,100,1745,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,73,16,,Discussion - Talk,F,16,80,3988,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,74,17,,Herd - Cow,F,17,100,3079,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,75,2,,Digestion - Stomach,F,2,100,3291,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,76,11,,Way - Out,F,11,100,1592,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,77,51,,Pop - Soda,S,51,100,1460,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,78,58,,Honey - Bee,S,58,100,3324,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,79,15,,Revolution - War,F,15,100,1576,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,80,53,,Bathroom - Toilet,S,53,100,1566,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,81,52,,Wine - Cheese,S,52,100,1477,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,82,18,,Credit - Card,F,18,100,1621,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,83,66,,Discover - Floor,U,66,70,2821,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,84,79,,Hide - Sick,U,79,100,1537,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,85,65,,Soon - Belt,U,65,100,1349,,,,,,,1,StudyProc3
D_JOL A 2,117,1,BlockProc1,Block1,86,,,Catcher - Baseball,,4,,,,,,,,,1,StudyProc2
D_JOL A 2,117,1,BlockProc1,Block1,87,,,Grab - Take,,2,,,,,,,,,1,StudyProc2
D_JOL A 2,117,1,BlockProc1,Block1,88,,,Friendliness - Nice,,3,,,,,,,,,1,StudyProc2
D_JOL A 2,117,1,BlockProc1,Block1,89,,,Geese - Goose,,1,,,,,,,,,1,StudyProc2
D_JOL A 2,117,1,BlockProc1,Block1,90,,,Trees - Green,,5,,,,,,,,,1,StudyProc2
D_JOL A 2,117,1,BlockProc1,Block1,91,,,Orchid - ?,,19,,,,,flower,5439,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,92,,,Cash - ?,,78,,,,,green,19196,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,93,,,Number - ?,,42,,,,,count,6235,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,94,,,Shoe - ?,,55,,,,,foot,6343,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,95,,,Valley - ?,,77,,,,,mountain,15872,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,96,,,Circle - ?,,60,,,,,round,3859,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,97,,,Dark - ?,,23,,,,,cave,5312,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,98,,,Math - ?,,28,,,,,count,9522,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,99,,,Pop - ?,,51,,,,,soda,2427,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,100,,,Grill - ?,,47,,,,,cook,6849,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,101,,,Kidney - ?,,48,,,,,liver,2990,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,102,,,Swan - ?,,9,,,,,bird,3389,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,103,,,Drink - ?,,22,,,,,glass,21532,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,104,,,Credit - ?,,18,,,,,card,3125,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,105,,,Wine - ?,,52,,,,,cheese,4135,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,106,,,Art - ?,,74,,,,,paint,14936,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,107,,,Location - ?,,43,,,,,position,6080,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,108,,,Discover - ?,,66,,,,,look,29052,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,109,,,Debate - ?,,68,,,,,find,25871,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,110,,,Ball - ?,,33,,,,,catcher,11625,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,111,,,Soon - ?,,65,,,,,find,5463,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,112,,,Happy - ?,,72,,,,,sad,4315,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,113,,,Paw - ?,,10,,,,,dog,12533,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,114,,,Hunger - ?,,35,,,,,thirst,34262,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,115,,,Pusher - ?,,61,,,,,grabber,29537,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,116,,,Herd - ?,,17,,,,,cow,8856,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,117,,,Geology - ?,,14,,,,,location,5252,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,118,,,Bug - ?,,27,,,,,butterfly,26729,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,119,,,Honey - ?,,58,,,,,bee,1681,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,120,,,Key - ?,,31,,,,,latch,5773,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,121,,,King - ?,,80,,,,,position,6540,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,122,,,Smell - ?,,37,,,,,tree,28701,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,123,,,Machine - ?,,71,,,,,mechanic,38031,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,124,,,Trial - ?,,45,,,,,jury,4178,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,125,,,Plane - ?,,39,,,,,fly,3601,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,126,,,Past - ?,,57,,,,,future,2608,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,127,,,Revolution - ?,,15,,,,,war,2727,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,128,,,Clothes - ?,,38,,,,,pants,5865,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,129,,,Work - ?,,34,,,,,money,3789,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,130,,,Sugar - ?,,76,,,,,food,33987,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,131,,,Hide - ?,,79,,,,,cover,11537,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,132,,,Bridge - ?,,13,,,,,water,2561,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,133,,,Bitter - ?,,7,,,,,sad,3129,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,134,,,Editor - ?,,5,,,,,paper,6531,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,135,,,Hot - ?,,32,,,,,cold,4557,,,1,recallproc1
D_JOL A 2,117,1,BlockProc1,Block1,136,,,Fire - ?,,40,,,,,flamee,7853,,,1,recallproc1
